time,open,high,low,close,Volume
2022/3/14,117.28,119.4,117.28,119.14,899470
2022/3/21,119.14,122.43,119.06,122.08,1022397
2022/3/28,122.07,125.11,121.28,122.54,2076751
2022/4/4,122.6,124.68,122.26,124.28,1141268
2022/4/11,124.03,126.68,124.01,126.35,1525459
2022/4/18,126.32,129.41,126.24,128.48,1781498
2022/4/25,128.48,131.25,126.94,129.85,2480575
2022/5/2,129.72,130.81,128.62,130.53,2066277
2022/5/9,130.33,131.35,127.52,129.25,2452323
2022/5/16,129.29,129.78,127.02,127.9,1881727
2022/5/23,127.89,128.09,126.36,127.09,1615082
2022/5/30,127.03,130.98,126.86,130.82,1427209
2022/6/6,130.83,134.56,130.43,134.39,1842994
2022/6/13,134.3,135.59,131.49,134.85,3761542
2022/6/20,134.9,136.71,134.27,135.16,2419575
2022/6/27,135.16,137,134.52,135.23,2503625
2022/7/4,135.29,136.57,134.78,136.04,2195103
2022/7/11,135.98,139.39,135.94,138.48,2019872
2022/7/18,138.48,138.88,135.57,136.06,1754485
2022/7/25,136.12,137.46,132.5,133.2,1843881
2022/8/1,133.23,135.5,130.39,135.03,2275536
2022/8/8,135.09,135.58,131.73,133.48,2049598
2022/8/15,133.48,137.23,132.56,136.86,1814148
2022/8/22,136.84,137.71,135.81,137.5,1865183
2022/8/29,137.58,140.8,137.56,140.14,1813577
2022/9/5,140.11,144.99,140.09,142.63,2275663
2022/9/12,142.12,144.96,141.6,142.9,2380971
2022/9/19,142.86,145.9,140.34,143.3,2642513
2022/9/26,143.6,144.9,143.2,144.72,2846015
2022/10/3,144.7,145.44,143.52,145.36,2041335
2022/10/10,145.33,148.86,145.23,148.73,1869342
2022/10/17,148.53,151.94,146.16,147.65,1883258
2022/10/24,147.49,149.71,145.1,147.44,2246921
2022/10/31,147.75,148.85,145.67,146.65,2065589
2022/11/7,147.16,147.57,138.46,138.75,2408964
2022/11/14,139.1,140.8,137.66,140.33,2682281
2022/11/21,140.29,142.25,138.04,139.15,1706445
2022/11/28,139.21,139.89,133.62,134.31,2231966
2022/12/5,134.5,137.85,134.13,136.58,1967810
2022/12/12,136.52,138.17,134.51,136.68,2220716
2022/12/19,135.97,137.48,130.56,132.77,2243996
2022/12/26,132.77,134.5,130.76,131.1,1370422
2023/1/2,131.1,134.77,129.5,132.1,2149042
2023/1/9,131.94,132.87,127.45,127.85,2539285
2023/1/16,127.75,131.57,127.22,129.55,2751913
2023/1/23,129.46,131.11,129.02,129.76,1817331
